Order	PID	MS SubClass	MS Zoning	Lot Frontage	Lot Area	Street	Alley	Lot Shape	Land Contour	Utilities	Lot Config	Land Slope	Neighborhood	Condition 1	Condition 2	Bldg Type	House Style	Overall Qual	Overall Cond	Year Built	Year Remod/Add	Roof Style	Roof Matl	Exterior 1st	Exterior 2nd	Mas Vnr Type	Mas Vnr Area	Exter Qual	Exter Cond	Foundation	Bsmt Qual	Bsmt Cond	Bsmt Exposure	BsmtFin Type 1	BsmtFin SF 1	BsmtFin Type 2	BsmtFin SF 2	Bsmt Unf SF	Total Bsmt SF	Heating	Heating QC	Central Air	Electrical	1st Flr SF	2nd Flr SF	Low Qual Fin SF	Gr Liv Area	Bsmt Full Bath	Bsmt Half Bath	Full Bath	Half Bath	Bedroom AbvGr	Kitchen AbvGr	Kitchen Qual	TotRms AbvGrd	Functional	Fireplaces	Fireplace Qu	Garage Type	Garage Yr Blt	Garage Finish	Garage Cars	Garage Area	Garage Qual	Garage Cond	Paved Drive	Wood Deck SF	Open Porch SF	Enclosed Porch	3Ssn Porch	Screen Porch	Pool Area	Pool QC	Fence	Misc Feature	Misc Val	Mo Sold	Yr Sold	Sale Type	Sale Condition	SalePrice
429	0528108070	060	RL	96	11308	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	2Story	9	5	2008	2008	Gable	CompShg	VinylSd	VinylSd	Stone	154	Ex	TA	PConc	Ex	TA	Av	GLQ	936	Unf	0	168	1104	GasA	Ex	Y	SBrkr	1130	1054	0	2184	1	0	2	1	3	1	Ex	10	Typ	1	Gd	Attchd	2008	Fin	3	836	TA	TA	Y	0	102	0	0	0	0	NA	NA	NA	0	7	2009	WD 	Normal	335000
430	0528108130	020	RL	95	12350	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	9	5	2008	2008	Hip	CompShg	VinylSd	VinylSd	Stone	450	Ex	TA	PConc	Ex	TA	Av	GLQ	1232	Unf	0	788	2020	GasA	Ex	Y	SBrkr	2020	0	0	2020	1	0	2	0	3	1	Ex	7	Typ	1	Gd	Attchd	2008	RFn	3	896	TA	TA	Y	192	98	0	0	0	0	NA	NA	NA	0	5	2009	WD 	Normal	404000
431	0528108140	020	RL	94	12220	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	10	5	2009	2009	Hip	CompShg	CemntBd	CmentBd	BrkFace	305	Ex	TA	CBlock	Ex	TA	No	GLQ	1436	Unf	0	570	2006	GasA	Ex	Y	SBrkr	2020	0	0	2020	1	0	2	1	3	1	Ex	9	Typ	1	Gd	Attchd	2009	Fin	3	900	TA	TA	Y	156	54	0	0	0	0	NA	NA	NA	0	9	2009	New	Partial	402861
432	0528110010	060	RL	97	13478	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	NridgHt	Norm	Norm	1Fam	2Story	10	5	2008	2008	Gable	CompShg	CemntBd	CmentBd	Stone	420	Ex	TA	PConc	Ex	TA	Gd	GLQ	1338	Unf	0	384	1722	GasA	Ex	Y	SBrkr	1728	568	0	2296	1	0	2	1	3	1	Ex	10	Typ	1	Gd	BuiltIn	2008	RFn	3	842	TA	TA	Y	382	274	0	0	0	0	NA	NA	NA	0	6	2009	ConLI	Normal	451950
433	0528110020	020	RL	105	13693	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	PosA	PosA	1Fam	1Story	10	5	2007	2007	Hip	CompShg	VinylSd	VinylSd	Stone	472	Ex	TA	PConc	Ex	TA	Gd	GLQ	2288	Unf	0	342	2630	GasA	Ex	Y	SBrkr	2674	0	0	2674	2	0	2	1	2	1	Ex	8	Typ	2	Gd	Attchd	2007	Fin	3	762	TA	TA	Y	360	50	0	0	0	0	NA	NA	NA	0	3	2009	WD 	Normal	610000
434	0528110090	060	RL	107	13891	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	2Story	9	5	2008	2009	Hip	CompShg	VinylSd	VinylSd	Stone	424	Ex	TA	PConc	Ex	TA	Gd	Unf	0	Unf	0	1734	1734	GasA	Ex	Y	SBrkr	1734	1088	0	2822	0	0	3	1	4	1	Ex	12	Typ	1	Gd	BuiltIn	2009	RFn	3	1020	TA	TA	Y	52	170	0	0	192	0	NA	NA	NA	0	1	2009	New	Partial	582933
435	0528112040	020	RL	95	11578	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	9	5	2008	2008	Gable	CompShg	VinylSd	VinylSd	Stone	302	Ex	TA	PConc	Ex	TA	No	Unf	0	Unf	0	1736	1736	GasA	Ex	Y	SBrkr	1736	0	0	1736	0	0	2	0	3	1	Ex	7	Typ	1	Gd	Attchd	2008	RFn	3	834	TA	TA	Y	319	90	0	0	0	0	NA	NA	NA	0	7	2009	WD 	Normal	360000
436	0528116010	020	RL	129	16870	Pave	NA	IR1	Lvl	AllPub	FR3	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2004	2005	Hip	CompShg	VinylSd	VinylSd	BrkFace	238	Gd	TA	PConc	Ex	TA	Gd	GLQ	1531	Unf	0	251	1782	GasA	Ex	Y	SBrkr	1782	0	0	1782	1	0	2	0	3	1	Gd	7	Typ	2	Gd	Attchd	2004	Fin	3	932	TA	TA	Y	99	82	0	0	0	0	NA	NA	NA	0	4	2009	WD 	Normal	296000
437	0528118060	060	RL	59	23303	Pave	NA	IR3	Lvl	AllPub	CulDSac	Gtl	NridgHt	Norm	Norm	1Fam	2Story	8	5	2007	2007	Gable	CompShg	VinylSd	VinylSd	Stone	20	Gd	TA	PConc	Ex	TA	Av	GLQ	1230	Unf	0	278	1508	GasA	Ex	Y	SBrkr	1508	1012	0	2520	1	0	2	1	5	1	Ex	10	Typ	1	Gd	BuiltIn	2007	Fin	3	640	TA	TA	Y	192	273	0	0	0	0	NA	NA	NA	0	6	2009	WD 	Family	409900
438	0528120020	020	RL	87	11146	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2006	2006	Gable	CompShg	VinylSd	VinylSd	Stone	250	Gd	TA	PConc	Ex	TA	Av	Unf	0	Unf	0	1709	1709	GasA	Ex	Y	SBrkr	1717	0	0	1717	0	0	2	0	3	1	Gd	7	Typ	1	Gd	Attchd	2006	RFn	3	908	TA	TA	Y	169	39	0	0	0	0	NA	NA	NA	0	7	2009	WD 	Normal	255500
439	0528120030	020	RL	87	10367	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	9	5	2008	2008	Hip	CompShg	VinylSd	VinylSd	Stone	284	Ex	TA	PConc	Ex	TA	Mn	GLQ	1015	Unf	0	724	1739	GasA	Ex	Y	SBrkr	1743	0	0	1743	1	0	2	0	3	1	Ex	8	Typ	1	Gd	Attchd	2008	RFn	3	927	TA	TA	Y	168	45	0	0	0	0	NA	NA	NA	0	6	2009	ConLI	Normal	335000
440	0528120160	020	RL	76	9591	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2004	2005	Hip	CompShg	VinylSd	VinylSd	BrkFace	262	Gd	TA	PConc	Ex	TA	Av	GLQ	1088	Unf	0	625	1713	GasA	Ex	Y	SBrkr	1713	0	0	1713	1	0	2	0	3	1	Ex	7	Typ	1	Gd	Attchd	2004	Fin	3	856	TA	TA	Y	0	26	0	0	170	0	NA	NA	NA	0	1	2009	WD 	Normal	274900
441	0528120170	020	RL	77	10872	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	9	5	2006	2006	Gable	CompShg	VinylSd	VinylSd	Stone	122	Gd	TA	PConc	Ex	Gd	Av	GLQ	1037	Unf	0	467	1504	GasA	Ex	Y	SBrkr	1531	0	0	1531	1	0	2	0	2	1	Ex	6	Typ	1	Gd	Attchd	2006	Fin	3	700	TA	TA	Y	184	52	0	0	0	0	NA	NA	NA	0	2	2009	WD 	Normal	300000
442	0528138010	020	RL	102	13514	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	NridgHt	Norm	Norm	1Fam	1Story	9	5	2008	2008	Hip	CompShg	VinylSd	VinylSd	None	285	Ex	TA	PConc	Ex	TA	No	GLQ	1142	Unf	0	632	1774	GasA	Ex	Y	SBrkr	1808	0	0	1808	1	0	2	0	3	1	Ex	7	Typ	1	Gd	Attchd	2008	Fin	3	850	TA	TA	Y	200	26	0	0	0	0	NA	NA	NA	0	3	2009	WD 	Normal	324000
443	0528142040	060	RL	74	8834	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	2Story	9	5	2004	2005	Hip	CompShg	VinylSd	VinylSd	Stone	216	Gd	TA	PConc	Ex	TA	No	GLQ	1170	Unf	0	292	1462	GasA	Ex	Y	SBrkr	1462	762	0	2224	1	0	2	1	4	1	Ex	10	Typ	1	Gd	Attchd	2004	Fin	3	738	TA	TA	Y	184	0	0	0	0	0	NA	NA	NA	0	6	2009	WD 	Normal	350000
444	0528142090	020	RL	107	11362	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2004	2005	Gable	CompShg	MetalSd	MetalSd	Stone	42	Gd	TA	PConc	Ex	TA	Mn	GLQ	1039	Unf	0	797	1836	GasA	Ex	Y	SBrkr	1836	0	0	1836	1	0	2	0	3	1	Gd	7	Typ	1	Gd	Attchd	2004	Fin	3	862	TA	TA	Y	125	185	0	0	0	0	NA	NA	NA	0	3	2009	WD 	Normal	280000
445	0528142130	020	RL	85	10655	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2003	2004	Gable	CompShg	VinylSd	VinylSd	BrkFace	296	Gd	TA	PConc	Gd	TA	No	GLQ	1124		479	1603	3206	GasA	Ex	Y	SBrkr	1629	0	0	1629	1	0	2	0	3	1	Gd	7	Typ	1	Gd	Attchd	2003	RFn	3	880	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	10	2009	WD 	Normal	284000
446	0528142150	020	RL	90	12878	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	NridgHt	Norm	Norm	1Fam	1Story	7	5	2003	2004	Hip	CompShg	VinylSd	VinylSd	BrkFace	418	Gd	TA	PConc	Gd	TA	No	ALQ	1262	Unf	0	498	1760	GasA	Ex	Y	SBrkr	1760	0	0	1760	1	0	2	0	3	1	Gd	8	Typ	1	Gd	Attchd	2003	Fin	2	583	TA	TA	Y	165	190	0	0	0	0	NA	NA	NA	0	6	2009	WD 	Normal	269500
447	0528144020	020	RL	79	9541	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	7	5	2009	2009	Gable	CompShg	VinylSd	VinylSd	Stone	268	Gd	TA	PConc	Gd	TA	No	Unf	0	Unf	0	1502	1502	GasA	Ex	Y	SBrkr	1502	0	0	1502	0	0	2	0	3	1	Gd	7	Typ	0	NA	Attchd	2009	RFn	2	644	TA	TA	Y	0	114	0	0	0	0	NA	NA	NA	0	9	2009	New	Partial	233170
448	0528166060	020	RL	103	13472	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	10	5	2003	2003	Hip	CompShg	VinylSd	VinylSd	BrkFace	922	Ex	TA	PConc	Ex	TA	Gd	GLQ	56	Unf	0	2336	2392	GasA	Ex	Y	SBrkr	2392	0	0	2392	0	0	2	0	3	1	Ex	8	Typ	1	Ex	Attchd	2003	Fin	3	968	TA	TA	Y	248	105	0	0	0	0	NA	NA	NA	0	6	2009	WD 	Normal	386250
449	0528166090	020	RL	110	15274	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	NridgHt	Norm	Norm	1Fam	1Story	9	5	2003	2003	Hip	CompShg	VinylSd	VinylSd	BrkFace	724	Gd	TA	PConc	Ex	TA	No	GLQ	1972	Unf	0	480	2452	GasA	Ex	Y	SBrkr	2452	0	0	2452	2	0	2	0	3	1	Ex	10	Typ	1	Gd	Attchd	2003	Fin	3	886	TA	TA	Y	0	116	0	0	0	0	NA	MnPrv	NA	0	7	2009	WD 	Normal	445000
450	0528168030	060	RL	96	13262	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	2Story	8	5	2003	2004	Gable	CompShg	VinylSd	VinylSd	Stone	186	Gd	TA	PConc	Gd	TA	No	Unf	0	Unf	0	1082	1082	GasA	Ex	Y	SBrkr	1105	1295	0	2400	0	0	3	1	4	1	Gd	10	Typ	1	Gd	BuiltIn	2003	Fin	3	730	TA	TA	Y	114	40	0	0	0	0	NA	NA	NA	0	6	2009	WD 	Normal	290000
451	0528172060	020	RL	70	9658	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2006	2006	Gable	CompShg	VinylSd	VinylSd	Stone	383	Gd	TA	PConc	Gd	TA	No	Unf	0	Unf	0	1598	1598	GasA	Gd	Y	SBrkr	1606	0	0	1606	0	0	2	0	3	1	Gd	6	Typ	1	Gd	Attchd	2006	RFn	3	871	TA	TA	Y	230	60	0	0	0	0	NA	NA	NA	0	7	2009	WD 	Normal	255900
452	0528174050	120	RL	47	6904	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	TwnhsE	1Story	6	5	2005	2005	Gable	CompShg	VinylSd	VinylSd	Stone	240	Gd	TA	PConc	Gd	TA	Av	ALQ	836	Unf	0	522	1358	GasA	Ex	Y	SBrkr	1358	0	0	1358	0	0	2	0	2	1	Gd	6	Typ	1	Gd	Attchd	2005	RFn	2	484	TA	TA	Y	192	36	0	0	0	0	NA	NA	NA	0	8	2009	WD 	Normal	213000
453	0528174060	120	RL	34	5381	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	Twnhs	1Story	6	5	2005	2005	Gable	CompShg	VinylSd	VinylSd	Stone	135	Gd	TA	PConc	Gd	TA	Av	ALQ	900	Unf	0	406	1306	GasA	Ex	Y	SBrkr	1306	0	0	1306	1	0	2	0	1	1	Gd	5	Typ	1	Gd	Attchd	2005	RFn	2	624	TA	TA	Y	170	63	0	0	0	0	NA	NA	NA	0	8	2009	WD 	Normal	196000
454	0528174070	120	RL	34	5122	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	Twnhs	1Story	6	5	2005	2005	Gable	CompShg	VinylSd	VinylSd	Stone	135	Gd	TA	PConc	Gd	TA	Av	GLQ	881	Unf	0	425	1306	GasA	Ex	Y	SBrkr	1306	0	0	1306	1	0	2	0	1	1	Gd	5	Typ	1	Gd	Attchd	2005	RFn	2	624	TA	TA	Y	170	63	0	0	0	0	NA	NA	NA	0	3	2009	WD 	Normal	184500
455	0528175050	120	RL	80	10307	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	TwnhsE	1Story	7	5	2007	2008	Gable	CompShg	VinylSd	VinylSd	Stone	176	Gd	TA	PConc	Gd	TA	No	GLQ	876	Unf	0	474	1350	GasA	Ex	Y	SBrkr	1358	0	0	1358	1	0	2	0	2	1	Gd	6	Typ	1	Gd	Attchd	2008	RFn	2	484	TA	TA	Y	192	26	0	0	0	0	NA	NA	NA	0	5	2009	WD 	Normal	212500
456	0528175060	120	RL	34	5001	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	Twnhs	1Story	7	5	2007	2008	Gable	CompShg	VinylSd	VinylSd	Stone	166	Gd	TA	PConc	Gd	TA	No	GLQ	904	Unf	0	410	1314	GasA	Ex	Y	SBrkr	1314	0	0	1314	1	0	2	0	2	1	Gd	6	Typ	1	Gd	Attchd	2008	RFn	2	626	TA	TA	Y	172	62	0	0	0	0	NA	NA	NA	0	7	2009	WD 	Normal	230000
457	0528176030	020	RL	100	14836	Pave	NA	IR1	HLS	AllPub	Inside	Mod	NridgHt	Norm	Norm	1Fam	1Story	10	5	2004	2005	Hip	CompShg	CemntBd	CmentBd	Stone	730	Ex	TA	PConc	Ex	TA	Gd	GLQ	2146	Unf	0	346	2492	GasA	Ex	Y	SBrkr	2492	0	0	2492	1	0	2	1	2	1	Ex	8	Typ	1	Ex	Attchd	2004	Fin	3	949	TA	TA	Y	226	235	0	0	0	0	NA	NA	NA	0	2	2009	WD 	Abnorml	552000
458	0528178010	020	RL	117	15262	Pave	NA	IR1	Lvl	AllPub	Corner	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2003	2004	Hip	CompShg	VinylSd	VinylSd	BrkFace	470	Gd	TA	PConc	Ex	TA	Gd	GLQ	1557	Unf	0	643	2200	GasA	Ex	Y	SBrkr	2200	0	0	2200	1	0	2	1	3	1	Ex	8	Typ	1	Gd	Attchd	2003	Fin	3	685	TA	TA	Y	208	55	0	0	0	0	NA	NA	NA	0	7	2009	WD 	Normal	382500
459	0528180120	120	RL	44	7390	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	TwnhsE	1Story	9	5	2008	2009	Hip	CompShg	MetalSd	MetalSd	BrkFace	308	Ex	TA	PConc	Ex	TA	No	GLQ	800	Unf	0	1084	1884	GasA	Ex	Y	SBrkr	1884	0	0	1884	1	0	2	0	2	1	Ex	6	Typ	1	Gd	Attchd	2008	Fin	2	649	TA	TA	Y	231	90	0	0	0	0	NA	NA	NA	0	5	2009	New	Partial	320000
460	0528180130	120	RL	48	6472	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	TwnhsE	1Story	9	5	2008	2008	Hip	CompShg	VinylSd	VinylSd	BrkFace	500	Ex	TA	PConc	Ex	TA	No	Unf	0	Unf	0	1451	1451	GasA	Ex	Y	SBrkr	1456	0	0	1456	0	0	2	0	2	1	Ex	6	Typ	1	Gd	Attchd	2008	RFn	2	539	TA	TA	Y	192	42	0	0	0	0	NA	NA	NA	0	4	2009	WD 	Normal	248500
461	0528186010	020	RL	129	16770	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	NridgHt	Norm	Norm	1Fam	1Story	8	5	2002	2003	Hip	CompShg	VinylSd	VinylSd	BrkFace	270	Gd	TA	PConc	Ex	TA	Gd	GLQ	1196	Unf	0	516	1712	GasA	Ex	Y	SBrkr	1712	0	0	1712	1	0	2	0	3	1	Gd	8	Typ	1	Gd	Attchd	2002	RFn	3	701	TA	TA	Y	218	183	0	0	0	0	NA	NA	NA	0	9	2009	WD 	Normal	286500
462	0528186180	120	RL	48	6240	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	TwnhsE	1Story	8	5	2006	2006	Hip	CompShg	MetalSd	MetalSd	BrkFace	176	Gd	TA	PConc	Gd	TA	No	GLQ	863	Unf	0	461	1324	GasA	Ex	Y	SBrkr	1324	0	0	1324	1	0	2	0	2	1	Gd	6	Typ	1	Gd	Attchd	2006	Fin	2	550	TA	TA	Y	192	38	0	0	0	0	NA	NA	NA	0	12	2009	WD 	Normal	254000
463	0528188020	120	RL	48	3480	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	TwnhsE	1Story	7	5	2003	2003	Gable	CompShg	VinylSd	VinylSd	Stone	163	Gd	TA	PConc	Gd	TA	No	Unf	0	Unf	0	1405	1405	GasA	Ex	Y	SBrkr	1405	0	0	1405	0	0	2	0	2	1	Gd	6	Typ	1	TA	Attchd	2003	RFn	2	478	TA	TA	Y	148	36	0	0	0	0	NA	NA	NA	0	11	2009	WD 	Normal	173000
464	0528188060	160	RL	36	2268	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	NridgHt	Norm	Norm	Twnhs	2Story	7	5	2003	2004	Gable	CompShg	VinylSd	Wd Shng	Stone	106	Gd	TA	PConc	Gd	TA	No	GLQ	567	Unf	0	197	764	GasA	Ex	Y	SBrkr	764	862	0	1626	0	0	2	0	2	1	Gd	6	Typ	0	NA	BuiltIn	2003	RFn	2	474	TA	TA	Y	0	27	0	0	0	0	NA	NA	NA	0	7	2009	WD 	Normal	173000
465	0528218090	060	RL	63	10928	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Gilbert	RRAn	Norm	1Fam	2Story	7	5	2005	2005	Gable	CompShg	VinylSd	VinylSd	None	0	Gd	TA	PConc	Gd	Gd	No	Unf	0	Unf	0	728	728	GasA	Ex	Y	SBrkr	728	728	0	1456	0	0	2	1	3	1	Gd	8	Typ	1	Gd	Attchd	2005	Fin	2	390	TA	TA	Y	100	0	0	0	0	0	NA	NA	NA	0	6	2009	WD 	Normal	184000
466	0528220040	060	RL	57	8918	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	2Story	6	5	2005	2006	Gable	CompShg	VinylSd	VinylSd	None	0	Gd	TA	PConc	Gd	TA	Av	Unf	0	Unf	0	745	745	GasA	Ex	Y	SBrkr	745	745	0	1490	0	0	2	1	3	1	Gd	7	Typ	1	Gd	Attchd	2005	Fin	2	392	TA	TA	Y	36	20	0	0	0	0	NA	NA	NA	0	7	2009	WD 	Normal	167800
467	0528221060	060	RL	149	12589	Pave	NA	IR2	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	2Story	6	5	2005	2005	Gable	CompShg	VinylSd	VinylSd	None	0	Gd	TA	PConc	Gd	TA	No	Unf	0	Unf	0	742	742	GasA	Ex	Y	SBrkr	742	742	0	1484	0	0	2	1	3	1	Gd	8	Typ	1	Gd	Attchd	2005	Fin	2	390	TA	TA	Y	36	24	0	0	0	0	NA	NA	NA	0	6	2009	WD 	Normal	174000
468	0528221070	060	RL	122	11911	Pave	NA	IR2	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	2Story	6	5	2005	2005	Gable	CompShg	VinylSd	VinylSd	None	0	Gd	TA	PConc	Gd	TA	Av	Unf	0	Unf	0	684	684	GasA	Ex	Y	SBrkr	684	876	0	1560	0	0	2	1	3	1	Gd	6	Typ	1	Gd	BuiltIn	2005	Fin	2	400	TA	TA	Y	100	38	0	0	0	0	NA	NA	NA	0	3	2009	WD 	Normal	174000
469	0528228290	120	RL	53	3684	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Blmngtn	Norm	Norm	TwnhsE	1Story	7	5	2007	2007	Hip	CompShg	VinylSd	VinylSd	BrkFace	130	Gd	TA	PConc	Gd	TA	No	Unf	0	Unf	0	1373	1373	GasA	Ex	Y	SBrkr	1555	0	0	1555	0	0	2	0	2	1	Gd	7	Typ	1	TA	Attchd	2007	Fin	3	660	TA	TA	Y	143	20	0	0	0	0	NA	NA	NA	0	6	2009	WD 	Normal	174000
470	0528228295	120	RL	51	3635	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Blmngtn	Norm	Norm	TwnhsE	1Story	7	5	2007	2007	Hip	CompShg	VinylSd	VinylSd	BrkFace	130	Gd	TA	PConc	Gd	TA	No	ALQ	988	Unf	0	398	1386	GasA	Ex	Y	SBrkr	1569	0	0	1569	0	1	2	0	1	1	Gd	7	Typ	1	TA	Attchd	2007	RFn	3	660	TA	TA	Y	143	20	0	0	0	0	NA	NA	NA	0	5	2009	WD 	Normal	175900
471	0528228435	120	RL	43	3182	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Blmngtn	Norm	Norm	TwnhsE	1Story	7	5	2005	2006	Gable	CompShg	VinylSd	VinylSd	BrkFace	16	Gd	TA	PConc	Gd	TA	Av	GLQ	16	Unf	0	1357	1373	GasA	Ex	Y	SBrkr	1555	0	0	1555	0	0	2	0	2	1	Gd	7	Typ	1	TA	Attchd	2005	Fin	2	430	TA	TA	Y	143	20	0	0	0	0	NA	NA	NA	0	5	2009	WD 	Normal	192500
472	0528228450	120	RL	43	3182	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Blmngtn	Norm	Norm	TwnhsE	1Story	7	5	2005	2006	Gable	CompShg	VinylSd	VinylSd	BrkFace	16	Gd	TA	PConc	Gd	TA	No	GLQ	16	Unf	0	1330	1346	GasA	Ex	Y	SBrkr	1504	0	0	1504	0	0	2	0	1	1	Gd	7	Typ	1	Gd	Attchd	2005	Fin	2	457	TA	TA	Y	156	0	0	0	0	0	NA	NA	NA	0	5	2009	WD 	Normal	181000
473	0528228455	120	RL	43	3182	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Blmngtn	Norm	Norm	TwnhsE	1Story	7	5	2005	2006	Gable	CompShg	VinylSd	VinylSd	BrkFace	16	Gd	TA	PConc	Gd	TA	Av	GLQ	16	Unf	0	1204	1220	GasA	Ex	Y	SBrkr	1220	0	0	1220	0	0	2	0	2	1	Gd	5	Typ	1	Gd	Attchd	2005	Fin	2	397	TA	TA	Y	100	16	0	0	0	0	NA	NA	NA	0	8	2009	WD 	Normal	180000
474	0528228460	120	RL	43	3182	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Blmngtn	Norm	Norm	TwnhsE	1Story	7	5	2005	2006	Gable	CompShg	VinylSd	VinylSd	BrkFace	11	Gd	TA	PConc	Gd	TA	No	GLQ	16	Unf	0	1129	1145	GasA	Ex	Y	SBrkr	1145	0	0	1145	0	0	2	0	2	1	Gd	5	Typ	1	Gd	Attchd	2005	Fin	2	397	TA	TA	Y	100	16	0	0	0	0	NA	NA	NA	0	9	2009	WD 	Normal	160200
475	0528235010	060	RL	71	7795	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	2Story	7	5	2004	2005	Gable	CompShg	VinylSd	VinylSd	None	0	Gd	TA	PConc	Gd	TA	No	GLQ	425	Unf	0	291	716	GasA	Ex	Y	SBrkr	716	716	0	1432	1	0	2	1	3	1	Gd	6	Typ	1	Gd	Attchd	2004	Fin	2	432	TA	TA	Y	100	51	0	0	0	0	NA	NA	NA	0	7	2009	WD 	Normal	188500
476	0528235090	060	RL		8068	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	2Story	6	5	2002	2002	Gable	CompShg	VinylSd	VinylSd	None	0	Gd	TA	PConc	Gd	TA	No	Unf	0	Unf	0	1010	1010	GasA	Ex	Y	SBrkr	1010	1257	0	2267	0	0	2	1	4	1	Gd	8	Typ	1	TA	BuiltIn	2002	RFn	2	390	TA	TA	Y	120	46	0	0	0	0	NA	NA	NA	0	12	2009	ConLI	Normal	200000
477	0528235200	080	RL	59	9434	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	SLvl	7	5	2004	2005	Gable	CompShg	WdShing	Wd Shng	None	0	Gd	TA	PConc	Gd	TA	Mn	Unf	0	Unf	0	384	384	GasA	Ex	Y	SBrkr	744	630	0	1374	0	0	2	1	3	1	Gd	6	Typ	1	Gd	BuiltIn	2004	Fin	2	400	TA	TA	Y	100	0	0	0	0	0	NA	NA	NA	0	8	2009	WD 	Normal	170000
478	0528240030	060	RL	62	7984	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Gilbert	Norm	Norm	1Fam	2Story	7	5	2004	2005	Gable	CompShg	VinylSd	VinylSd	BrkFace	200	Gd	TA	PConc	Gd	TA	No	Unf	0	Unf	0	868	868	GasA	Ex	Y	SBrkr	868	762	0	1630	0	0	2	1	3	1	Gd	7	Typ	1	Gd	BuiltIn	2004	Fin	2	436	TA	TA	Y	120	48	0	0	0	0	NA	NA	NA	0	9	2009	WD 	Normal	189500
